"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\Links.ts", "TypeScript", 39, 0, 0, 0, 1, 16, 56
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\components\AboutMeSection.tsx", "TypeScript JSX", 0, 0, 289, 0, 4, 15, 308
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\components\WorkExperience.tsx", "TypeScript JSX", 0, 0, 409, 0, 1, 8, 418
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\page.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 2, 30
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 6, 41
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\BlogCard.tsx", "TypeScript JSX", 0, 0, 128, 0, 2, 14, 144
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\BlogEntry.tsx", "TypeScript JSX", 0, 0, 169, 0, 1, 16, 186
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\TipTapContent.tsx", "TypeScript JSX", 0, 0, 56, 0, 1, 4, 61
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\loading.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 2, 11
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\page.tsx", "TypeScript JSX", 0, 0, 77, 0, 0, 6, 83
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\[id]\page.tsx", "TypeScript JSX", 0, 0, 17, 0, 1, 2, 20
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\components\BlogEntryForm.tsx", "TypeScript JSX", 0, 0, 352, 0, 6, 29, 387
