"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "Prisma", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\dashboard\page.tsx", "TypeScript JSX", 0, -11, 0, 0, 0, 0, 0, -2, -13
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\globals.css", "CSS", 0, 0, 68, 0, 0, 0, 6, 14, 88
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\landing\page.tsx", "TypeScript JSX", 0, -15, 0, 0, 0, 0, -1, -1, -17
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\layout.tsx", "TypeScript JSX", 0, -38, 0, 0, 0, 0, -1, -5, -44
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\page.tsx", "TypeScript JSX", 0, -5, 0, 0, 0, 0, -1, -1, -7
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Hero.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\LanguagesListbox.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 0, 0, 3, 85
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\ListboxComponent.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 0, 0, 2, 89
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Sidebar.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 1, 61
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\SquareLoader.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\middleware.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 15, 34
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_entry.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 1, 8, 34
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_tag.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\tag.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, -5, -26
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\user.ts", "TypeScript", -2, 0, 0, 0, 0, 0, 0, 2, 0
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\dictionaries\Tags.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\zod.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\tailwind.config.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 63, 618, 68, 1, 183, 4, 11, 88, 1036
