"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\middleware.ts", "TypeScript", 28, 0, 0, 0, 6, 26, 60
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_entry.ts", "TypeScript", 89, 0, 0, 0, 1, 14, 104
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_tag.ts", "TypeScript", 25, 0, 0, 0, 0, 7, 32
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\project.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\user.ts", "TypeScript", 40, 0, 0, 0, 0, 10, 50
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\supabase.ts", "TypeScript", 2, 0, 0, 0, 1, 5, 8
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\types\next-auth.d.ts", "TypeScript", 12, 0, 0, 0, 3, 3, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\authOptions.ts", "TypeScript", 54, 0, 0, 0, 5, 5, 64
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\db.ts", "TypeScript", 9, 0, 0, 0, 3, 4, 16
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\dictionaries\PrismaClientErrors.ts", "TypeScript", 6, 0, 0, 0, 3, 3, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\dictionaries\Tags.ts", "TypeScript", 17, 0, 0, 0, 0, 1, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\generateEnglishRSSfeed.js", "JavaScript", 0, 52, 0, 0, 3, 11, 66
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\prismaClient.ts", "TypeScript", 6, 0, 0, 0, 0, 3, 9
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\zod.ts", "TypeScript", 19, 0, 0, 0, 2, 10, 31
"Total", "-", 407, 52, 3123, 283, 109, 386, 4360
