"filename", "language", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "Markdown", "XML", "Prisma", "JavaScript", "JSON", "SQL", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 61
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\blog_entry\route.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\tag\route.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\api\user\[id]\route.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\globals.css", "CSS", 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 6, 24, 171
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Footer.tsx", "TypeScript JSX", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 2, 130
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Hero.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 4, 60
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\LanguagesListbox.tsx", "TypeScript JSX", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\ListboxComponent.tsx", "TypeScript JSX", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 2, 89
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 3, 9, 258
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\SquareLoader.tsx", "TypeScript JSX", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Stack.tsx", "TypeScript JSX", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 2, 4, 151
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\components\Title.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\middleware.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 57
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_entry.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 100
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\blog_tag.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\repositories\user.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\supabase.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 8
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\types\next-auth.d.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\db.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 16
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\dictionaries\PrismaClientErrors.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\dictionaries\Tags.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\utils\prismaClient.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\zod.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 31
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\tailwind.config.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\tsconfig.json", "JSON with Comments", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"Total", "-", 30, 383, 2914, 205, 21, 2, 77, 12, 6622, 36, 112, 389, 10803
