"filename", "language", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\Links.ts", "TypeScript", 39, 0, 0, 0, 1, 16, 56
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\components\AboutMeSection.tsx", "TypeScript JSX", 0, 0, 289, 0, 4, 15, 308
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\components\WorkExperience.tsx", "TypeScript JSX", 0, 0, 409, 0, 1, 8, 418
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\about_me\page.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 2, 26
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\[id]\page.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 7, 42
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\BlogCard.tsx", "TypeScript JSX", 0, 0, 91, 0, 2, 9, 102
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\BlogEntry.tsx", "TypeScript JSX", 0, 0, 169, 0, 1, 16, 186
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\components\TipTapContent.tsx", "TypeScript JSX", 0, 0, 56, 0, 1, 4, 61
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\loading.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 2, 12
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\blog\page.tsx", "TypeScript JSX", 0, 0, 56, 0, 16, 5, 77
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\[id]\page.tsx", "TypeScript JSX", 0, 0, 17, 0, 1, 2, 20
"c:\Users\User\Documents\dev\web_development\nicohorn_webpage\src\app\[lang]\dashboard\blog_entry\components\BlogEntryForm.tsx", "TypeScript JSX", 0, 0, 349, 0, 6, 29, 384
